net,length_um
net575,123.37µm
u_aes128_optimized.u_aes_core.round_key_reg\[69\],123.29µm
net410,123.29µm
net459,123.155µm
_2053_,123.04µm
_2958_,122.85µm
clknet_leaf_73_clk,122.84µm
_2402_,122.64µm
u_aes128_optimized.u_aes_core.shift_rows_out\[52\],122.18µm
net376,122.135µm
_2255_,122.04µm
_1038_,122.03µm
_1098_,121.86µm
_1115_,121.84µm
net426,121.76µm
_1551_,121.12µm
u_aes128_optimized.u_aes_core.shift_rows_out\[46\],120.9µm
net551,120.64µm
_1548_,120.63µm
plaintext_reg\[13\],120.6µm
_2199_,120.56µm
clknet_leaf_54_clk,120.385µm
u_aes128_optimized.u_aes_core.shift_rows_out\[42\],120.265µm
net573,120.2µm
u_aes128_optimized.u_aes_core.shift_rows_out\[82\],120.13µm
net379,119.895µm
net284,119.87µm
net529,119.79µm
_1050_,119.62µm
net297,119.43µm
net832,119.19µm
clknet_leaf_28_clk,119.12µm
net316,118.98µm
net373,118.96µm
clknet_leaf_18_clk,118.88µm
net550,118.8µm
_1535_,118.44µm
clknet_leaf_78_clk,118.34µm
clknet_leaf_22_clk,118.1µm
u_aes128_optimized.u_aes_core.shift_rows_out\[33\],117.9µm
net513,117.77µm
_1925_,117.72µm
clknet_leaf_66_clk,117.68µm
clknet_leaf_13_clk,117.64µm
net470,117.605µm
_1628_,117.5µm
net355,117.2µm
_2561_,117.1µm
net446,117.075µm
net602,117.02µm
_1128_,116.86µm
net34,116.86µm
net600,116.81µm
net703,116.55µm
_1743_,116.36µm
net475,116.32µm
clknet_leaf_40_clk,116.32µm
_2074_,116.25µm
_2006_,116.2µm
_1677_,116.14µm
clknet_leaf_64_clk,115.94µm
clknet_leaf_85_clk,115.78µm
net296,115.7µm
clknet_leaf_42_clk,115.68µm
clknet_leaf_68_clk,115.65µm
net188,115.6µm
net557,115.52µm
clknet_leaf_2_clk,115.52µm
clknet_leaf_23_clk,115.5µm
u_aes128_optimized.u_aes_core.shift_rows_out\[114\],114.97µm
u_aes128_optimized.u_aes_core.shift_rows_out\[86\],114.88µm
net780,114.87µm
clknet_leaf_15_clk,114.71µm
_2963_,114.68µm
net69,114.62µm
net210,114.57µm
_2988_,114.52µm
u_aes128_optimized.u_aes_core.shift_rows_out\[94\],114.52µm
uo_out[6],114.51µm
u_aes128_optimized.u_aes_core.shift_rows_out\[1\],114.48µm
net474,114.48µm
_2301_,114.38µm
net149,113.94µm
net492,113.88µm
u_aes128_optimized.u_aes_core.shift_rows_out\[58\],113.86µm
_1605_,113.62µm
net546,113.54µm
u_aes128_optimized.u_aes_core.shift_rows_out\[107\],113.44µm
clknet_leaf_72_clk,113.44µm
clknet_leaf_24_clk,113.24µm
net28,113.12µm
net398,113.035µm
