Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_79_1166,VPWR,li1,539.8100,217.6000,1.799999
FILLER_79_1163,VPWR,li1,538.4300,217.6000,1.799999
FILLER_79_1160,VPWR,li1,537.0500,217.6000,1.799999
FILLER_79_1157,VPWR,li1,535.6700,217.6000,1.799999
FILLER_79_1154,VPWR,li1,534.2900,217.6000,1.799999
FILLER_79_1151,VPWR,li1,532.9100,217.6000,1.799999
FILLER_79_1148,VPWR,li1,531.5300,217.6000,1.799999
FILLER_79_1145,VPWR,li1,530.1500,217.6000,1.799999
FILLER_79_1142,VPWR,li1,528.7700,217.6000,1.799999
FILLER_79_1139,VPWR,li1,527.3900,217.6000,1.799999
FILLER_79_1136,VPWR,li1,526.0100,217.6000,1.799998
FILLER_79_1133,VPWR,li1,524.6300,217.6000,1.799998
FILLER_79_1130,VPWR,li1,523.2500,217.6000,1.799998
FILLER_79_1127,VPWR,li1,521.8700,217.6000,1.799998
FILLER_79_1124,VPWR,li1,520.4900,217.6000,1.799998
FILLER_79_1121,VPWR,li1,519.1100,217.6000,1.799998
FILLER_79_1118,VPWR,li1,517.5000,217.6000,1.799997
FILLER_79_1115,VPWR,li1,516.3500,217.6000,1.799997
FILLER_79_1112,VPWR,li1,514.9700,217.6000,1.799997
FILLER_79_1109,VPWR,li1,513.5900,217.6000,1.799996
FILLER_79_1106,VPWR,li1,512.2100,217.6000,1.799996
FILLER_79_1103,VPWR,li1,510.8300,217.6000,1.799996
FILLER_79_1100,VPWR,li1,509.4500,217.6000,1.799996
FILLER_79_1097,VPWR,li1,508.0700,217.6000,1.799995
FILLER_79_1094,VPWR,li1,506.6900,217.6000,1.799995
FILLER_79_1091,VPWR,li1,505.3100,217.6000,1.799995
FILLER_79_1088,VPWR,li1,503.9300,217.6000,1.799994
FILLER_79_1085,VPWR,li1,502.5500,217.6000,1.799994
FILLER_79_1082,VPWR,li1,501.1700,217.6000,1.799994
FILLER_79_1079,VPWR,li1,499.7900,217.6000,1.799994
FILLER_79_1076,VPWR,li1,498.4100,217.6000,1.799993
FILLER_79_1073,VPWR,li1,497.0300,217.6000,1.799993
FILLER_79_1061,VPWR,li1,491.5100,217.6000,1.799992
FILLER_79_1048,VPWR,li1,485.3000,217.6000,1.799992
FILLER_79_1045,VPWR,li1,484.1500,217.6000,1.799992
FILLER_79_1037,VPWR,li1,480.0100,217.6000,1.799989
FILLER_79_1034,VPWR,li1,479.0900,217.6000,1.799989
FILLER_79_1012,VPWR,li1,468.5100,217.6000,1.799983
FILLER_79_1009,VPWR,li1,467.5900,217.6000,1.799983
FILLER_79_1007,VPWR,li1,466.2100,217.6000,1.799983
