net,length_um
net832,114.06µm
net316,113.82µm
clknet_leaf_68_clk,113.78µm
clknet_leaf_2_clk,113.58µm
clknet_leaf_72_clk,113.44µm
net264,113.26µm
net788,113.26µm
net474,113.245µm
net149,113.14µm
net188,113.12µm
_2543_,113.09µm
_2963_,113.055µm
clknet_leaf_3_clk,113.04µm
net557,112.92µm
net545,112.14µm
_2977_,112.075µm
u_aes128_optimized.u_aes_core.shift_rows_out\[6\],112.025µm
_1532_,112.01µm
net546,111.94µm
net682,111.84µm
u_aes128_optimized.u_aes_core.shift_rows_out\[34\],111.8µm
net602,111.64µm
net178,111.58µm
net296,111.48µm
_2125_,111.44µm
clknet_leaf_40_clk,111.4µm
clknet_leaf_35_clk,111.18µm
u_aes128_optimized.u_aes_core.shift_rows_out\[53\],110.69µm
_1244_,110.51µm
net628,110.38µm
_1551_,110.34µm
net551,110.32µm
net379,109.905µm
net148,109.84µm
net703,109.4µm
clknet_leaf_50_clk,109.26µm
u_aes128_optimized.u_aes_core.shift_rows_out\[8\],109.02µm
net203,109.02µm
_2756_,108.78µm
net381,108.74µm
clknet_leaf_45_clk,108.64µm
_1308_,108.62µm
_1698_,108.6µm
net558,108.56µm
clknet_leaf_30_clk,108.54µm
net243,108.51µm
clknet_leaf_58_clk,108.36µm
u_aes128_optimized.u_aes_core.shift_rows_out\[2\],107.9µm
u_aes128_optimized.u_aes_core.shift_rows_out\[94\],107.5µm
clknet_leaf_23_clk,107.36µm
u_aes128_optimized.u_aes_core.shift_rows_out\[114\],107.26µm
net189,107.26µm
u_aes128_optimized.u_aes_core.shift_rows_out\[58\],107.25µm
_1538_,107µm
u_aes128_optimized.u_aes_core.shift_rows_out\[67\],106.88µm
u_aes128_optimized.u_aes_core.shift_rows_out\[35\],106.78µm
clknet_leaf_5_clk,106.76µm
net816,106.73µm
_1931_,106.67µm
_2021_,106.6µm
_1759_,106.44µm
clknet_leaf_21_clk,106.38µm
_1122_,106.18µm
_2042_,106.18µm
clknet_leaf_32_clk,106.02µm
net486,105.89µm
_1554_,105.875µm
net106,105.84µm
clknet_leaf_1_clk,105.755µm
clknet_leaf_41_clk,105µm
clknet_leaf_49_clk,104.98µm
net458,104.855µm
_1072_,104.52µm
net242,104.48µm
net158,104.46µm
u_aes128_optimized.u_aes_core.round_key_reg\[9\],104.37µm
clknet_leaf_0_clk,104.36µm
net152,104.29µm
_2288_,104.26µm
_1544_,104.19µm
_1604_,104.15µm
net261,104.12µm
net784,103.9µm
net444,103.89µm
net124,103.82µm
u_aes128_optimized.u_aes_core.round_key_reg\[10\],103.72µm
u_aes128_optimized.u_aes_core.shift_rows_out\[17\],103.72µm
_1137_,103.685µm
u_aes128_optimized.u_aes_core.shift_rows_out\[11\],103.58µm
_1487_,103.44µm
net207,103.42µm
clknet_leaf_7_clk,103.4µm
net823,103.39µm
u_aes128_optimized.u_aes_core.shift_rows_out\[106\],103.34µm
u_aes128_optimized.u_aes_core.shift_rows_out\[116\],103.32µm
_1108_,103.26µm
net120,103.175µm
u_aes128_optimized.u_aes_core.shift_rows_out\[95\],103.13µm
_2192_,103.08µm
net255,102.98µm
net485,102.77µm
clknet_leaf_48_clk,102.72µm
u_aes128_optimized.u_aes_core.shift_rows_out\[99\],102.71µm
net257,102.6µm
_1069_,102.34µm
u_aes128_optimized.u_aes_core.shift_rows_out\[10\],101.98µm
clknet_leaf_4_clk,101.94µm
clknet_leaf_71_clk,101.915µm
u_aes128_optimized.u_aes_core.shift_rows_out\[60\],101.88µm
_1597_,101.8µm
net464,101.66µm
net530,101.065µm
net679,100.85µm
net345,100.76µm
clknet_leaf_16_clk,100.565µm
net347,100.54µm
u_aes128_optimized.u_aes_core.round_key_reg\[12\],100.49µm
_2294_,100.23µm
net289,100.16µm
_2003_,100.1µm
u_aes128_optimized.u_aes_core.shift_rows_out\[108\],100.04µm
clknet_leaf_6_clk,100µm
_2981_,99.98µm
net596,99.6µm
u_aes128_optimized.u_aes_core.shift_rows_out\[96\],99.435µm
u_aes128_optimized.u_aes_core.shift_rows_out\[100\],99.42µm
_2493_,99.28µm
net74,99.28µm
u_aes128_optimized.u_aes_core.round_key_reg\[27\],99.19µm
net67,99.185µm
_2205_,99.14µm
_2735_,99.12µm
clknet_leaf_75_clk,99.04µm
_3026_,98.89µm
clknet_leaf_86_clk,98.88µm
u_aes128_optimized.u_aes_core.shift_rows_out\[104\],98.785µm
u_aes128_optimized.u_aes_core.round_key_reg\[17\],98.62µm
_1547_,98.49µm
net473,98.47µm
net201,98.44µm
_1586_,98.28µm
u_aes128_optimized.u_aes_core.shift_rows_out\[57\],98.12µm
net7,98.12µm
net31,98.12µm
clknet_leaf_47_clk,98.12µm
_1927_,97.85µm
u_aes128_optimized.u_aes_core.byte_count\[3\],97.84µm
_1186_,97.75µm
u_aes128_optimized.u_aes_core.shift_rows_out\[93\],97.66µm
net724,97.35µm
u_aes128_optimized.u_aes_core.shift_rows_out\[89\],97.08µm
_1078_,96.94µm
u_aes128_optimized.u_aes_core.shift_rows_out\[63\],96.88µm
net382,96.64µm
u_aes128_optimized.u_aes_core.round_key_reg\[38\],96.62µm
u_aes128_optimized.u_aes_core.shift_rows_out\[21\],96.48µm
net755,96.24µm
_2308_,96.14µm
u_aes128_optimized.u_aes_core.shift_rows_out\[85\],96.12µm
net277,96.12µm
_2136_,95.78µm
u_aes128_optimized.u_aes_core.shift_rows_out\[119\],95.78µm
_2029_,95.58µm
clknet_leaf_19_clk,95.54µm
net236,95.52µm
u_aes128_optimized.u_aes_core.shift_rows_out\[61\],95.4µm
clknet_leaf_63_clk,95.3µm
net349,95.2µm
net113,95µm
_3016_,94.92µm
net619,94.915µm
net402,94.795µm
_1579_,94.78µm
u_aes128_optimized.u_aes_core.shift_rows_out\[78\],94.77µm
_2092_,94.72µm
net457,94.61µm
_1149_,94.54µm
_1954_,94.45µm
net541,94.34µm
_1491_,94.26µm
net799,94.15µm
clknet_leaf_34_clk,94.12µm
u_aes128_optimized.u_aes_core.shift_rows_out\[66\],94.08µm
u_aes128_optimized.u_aes_core.shift_rows_out\[87\],94.03µm
net675,93.88µm
_1157_,93.8µm
u_aes128_optimized.u_aes_core.shift_rows_out\[14\],93.78µm
clknet_leaf_61_clk,93.78µm
u_aes128_optimized.u_aes_core.shift_rows_out\[105\],93.7µm
net350,93.51µm
net200,93.46µm
_1148_,93.26µm
net224,93.26µm
net815,93.22µm
u_aes128_optimized.u_aes_core.shift_rows_out\[16\],93.18µm
