Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_80_2455,VPWR,li1,1132.7500,223.0400,1.800000
FILLER_80_2452,VPWR,li1,1131.3700,223.0400,1.800000
FILLER_80_2449,VPWR,li1,1129.9900,223.0400,1.800000
FILLER_80_2446,VPWR,li1,1128.6100,223.0400,1.800000
FILLER_80_2443,VPWR,li1,1127.2300,223.0400,1.800000
FILLER_80_2440,VPWR,li1,1125.8500,223.0400,1.800000
FILLER_80_2437,VPWR,li1,1124.4700,223.0400,1.800000
FILLER_80_2433,VPWR,li1,1122.6300,223.0400,1.800000
FILLER_80_2430,VPWR,li1,1121.2500,223.0400,1.800000
FILLER_80_2427,VPWR,li1,1119.8700,223.0400,1.800000
FILLER_80_2424,VPWR,li1,1118.4900,223.0400,1.800000
FILLER_80_2421,VPWR,li1,1117.1100,223.0400,1.800000
FILLER_80_2418,VPWR,li1,1115.7300,223.0400,1.800000
FILLER_80_2415,VPWR,li1,1114.3500,223.0400,1.800000
FILLER_80_2412,VPWR,li1,1112.9700,223.0400,1.800000
FILLER_80_2409,VPWR,li1,1111.5900,223.0400,1.800000
FILLER_80_2405,VPWR,li1,1109.7500,223.0400,1.800000
FILLER_80_2402,VPWR,li1,1108.3700,223.0400,1.800000
FILLER_80_2399,VPWR,li1,1106.9900,223.0400,1.800000
FILLER_80_2396,VPWR,li1,1105.6100,223.0400,1.800000
FILLER_80_2393,VPWR,li1,1104.2300,223.0400,1.800000
FILLER_80_2390,VPWR,li1,1102.8500,223.0400,1.800000
FILLER_80_2387,VPWR,li1,1101.4700,223.0400,1.800000
FILLER_80_2384,VPWR,li1,1100.0900,223.0400,1.800000
FILLER_80_2381,VPWR,li1,1098.7100,223.0400,1.800000
FILLER_80_2377,VPWR,li1,1096.8700,223.0400,1.800000
FILLER_80_2374,VPWR,li1,1095.4900,223.0400,1.800000
FILLER_80_2371,VPWR,li1,1094.1100,223.0400,1.800000
FILLER_80_2368,VPWR,li1,1092.7300,223.0400,1.800000
FILLER_80_2365,VPWR,li1,1091.3500,223.0400,1.800000
FILLER_80_2362,VPWR,li1,1089.9700,223.0400,1.800000
FILLER_80_2359,VPWR,li1,1088.5900,223.0400,1.800000
FILLER_80_2356,VPWR,li1,1087.2100,223.0400,1.800000
FILLER_80_2353,VPWR,li1,1085.8300,223.0400,1.800000
FILLER_80_2349,VPWR,li1,1083.9900,223.0400,1.800000
FILLER_80_2346,VPWR,li1,1082.6100,223.0400,1.800000
FILLER_80_2343,VPWR,li1,1081.2300,223.0400,1.800000
FILLER_80_2340,VPWR,li1,1079.8500,223.0400,1.800000
FILLER_80_2337,VPWR,li1,1078.4700,223.0400,1.800000
FILLER_80_2334,VPWR,li1,1077.0900,223.0400,1.800000
FILLER_80_2331,VPWR,li1,1075.7100,223.0400,1.800000
FILLER_80_2328,VPWR,li1,1074.3300,223.0400,1.800000
FILLER_80_2325,VPWR,li1,1072.9500,223.0400,1.800000
FILLER_80_2321,VPWR,li1,1071.1100,223.0400,1.800000
FILLER_80_2318,VPWR,li1,1069.7300,223.0400,1.800000
FILLER_80_2315,VPWR,li1,1068.3500,223.0400,1.800000
FILLER_80_2312,VPWR,li1,1066.9700,223.0400,1.800000
FILLER_80_2309,VPWR,li1,1065.5900,223.0400,1.800000
FILLER_80_2306,VPWR,li1,1064.2100,223.0400,1.800000
FILLER_80_2303,VPWR,li1,1062.8300,223.0400,1.800000
FILLER_80_2300,VPWR,li1,1061.4500,223.0400,1.800000
FILLER_80_2297,VPWR,li1,1060.0700,223.0400,1.800000
FILLER_80_2293,VPWR,li1,1058.2300,223.0400,1.800000
FILLER_80_2290,VPWR,li1,1056.8500,223.0400,1.800000
FILLER_80_2287,VPWR,li1,1055.4700,223.0400,1.800000
FILLER_80_2284,VPWR,li1,1054.0900,223.0400,1.800000
FILLER_80_2281,VPWR,li1,1052.7100,223.0400,1.800000
FILLER_80_2278,VPWR,li1,1051.3300,223.0400,1.800000
FILLER_80_2275,VPWR,li1,1049.9500,223.0400,1.800000
FILLER_80_2272,VPWR,li1,1048.5700,223.0400,1.800000
FILLER_80_2269,VPWR,li1,1047.1900,223.0400,1.800000
FILLER_80_2267,VPWR,li1,1045.8100,223.0400,1.800000
FILLER_80_2264,VPWR,li1,1044.8900,223.0400,1.800000
FILLER_80_2261,VPWR,li1,1043.5100,223.0400,1.800000
FILLER_80_2256,VPWR,li1,1040.7500,223.0400,1.800000
FILLER_80_2253,VPWR,li1,1039.8300,223.0400,1.800000
FILLER_80_2250,VPWR,li1,1038.4500,223.0400,1.800000
FILLER_80_2247,VPWR,li1,1037.0700,223.0400,1.800000
FILLER_80_2244,VPWR,li1,1035.6900,223.0400,1.800000
FILLER_80_2241,VPWR,li1,1034.3100,223.0400,1.800000
FILLER_80_2237,VPWR,li1,1032.4700,223.0400,1.800000
FILLER_80_2234,VPWR,li1,1031.0900,223.0400,1.800000
FILLER_80_2231,VPWR,li1,1029.7100,223.0400,1.800000
FILLER_80_2228,VPWR,li1,1028.3300,223.0400,1.800000
FILLER_80_2225,VPWR,li1,1026.9500,223.0400,1.800000
FILLER_80_2222,VPWR,li1,1025.5700,223.0400,1.800000
FILLER_80_2219,VPWR,li1,1024.1900,223.0400,1.800000
FILLER_80_2216,VPWR,li1,1022.8100,223.0400,1.800000
FILLER_80_2213,VPWR,li1,1021.4300,223.0400,1.800000
FILLER_80_2209,VPWR,li1,1019.5900,223.0400,1.800000
FILLER_80_2206,VPWR,li1,1018.2100,223.0400,1.800000
FILLER_80_2203,VPWR,li1,1016.8300,223.0400,1.800000
FILLER_80_2200,VPWR,li1,1015.4500,223.0400,1.800000
FILLER_80_2197,VPWR,li1,1014.0700,223.0400,1.800000
FILLER_80_2194,VPWR,li1,1012.6900,223.0400,1.800000
