net,length_um
ciphertext_wire\[125\],176.19µm
_03257_,176µm
_06589_,175.98µm
net207,175.865µm
net1770,175.84µm
_08444_,175.82µm
_01991_,175.78µm
_07625_,175.65µm
net189,175.6µm
clknet_leaf_12_clk,175.58µm
net139,175.48µm
net650,175.46µm
_04095_,175.4µm
net1335,175.05µm
_05428_,174.96µm
net1923,174.65µm
net957,174.61µm
net609,174.6µm
net1016,174.57µm
net264,174.47µm
u_aes128_baseline.u_aes_core.state_reg\[2\],174.24µm
_03690_,174.2µm
_04505_,174.135µm
net1737,174.13µm
_05465_,174.1µm
net152,174.02µm
net780,174.005µm
net228,173.89µm
net1113,173.69µm
net172,173.64µm
_07845_,173.63µm
_03353_,173.62µm
net267,173.32µm
_04896_,173.115µm
_04843_,173.04µm
net1674,173.015µm
_04493_,173µm
net1796,172.88µm
_03204_,172.79µm
_09306_,172.74µm
net1869,172.66µm
net968,172.54µm
net622,172.475µm
net721,172.35µm
_07842_,172.325µm
net858,172.28µm
_08090_,172.27µm
_01362_,172.11µm
net455,172.02µm
net338,171.87µm
net1434,171.86µm
net1102,171.815µm
net1256,171.7µm
net694,171.69µm
net1437,171.6µm
_07911_,171.58µm
net801,171.335µm
net671,171.24µm
_09342_,171.22µm
net431,171.115µm
_03914_,171.1µm
net681,171.085µm
_08003_,170.74µm
_07667_,170.72µm
_07997_,170.72µm
net492,170.59µm
clknet_leaf_21_clk,170.56µm
net967,170.52µm
net1395,170.49µm
net131,170.44µm
net1076,170.06µm
_01739_,170.055µm
_03964_,169.85µm
net1112,169.84µm
_04914_,169.81µm
_04086_,169.78µm
net1576,169.77µm
net1396,169.52µm
_04494_,169.41µm
_06145_,169.35µm
net898,169.32µm
_04507_,169.25µm
net813,169.2µm
net653,169.17µm
u_aes128_baseline.u_aes_core.state_reg\[66\],169.115µm
_08043_,168.97µm
net904,168.89µm
net959,168.82µm
_07803_,168.81µm
_01513_,168.7µm
_01214_,168.54µm
_08029_,168.44µm
net485,168.42µm
net214,168.385µm
net1898,168.21µm
_01331_,168.2µm
net1734,168.2µm
net413,168.16µm
net933,167.84µm
ciphertext_reg\[91\],167.835µm
net1350,167.715µm
u_aes128_baseline.u_aes_core.round_key_reg\[29\],167.57µm
net1481,167.55µm
_01916_,167.53µm
net321,167.5µm
_04731_,167.31µm
clknet_leaf_42_clk,167.25µm
net1152,167.24µm
net169,167.2µm
net1208,167.16µm
net1287,167.155µm
net1048,167.07µm
net1056,167.06µm
net260,166.95µm
_01274_,166.89µm
net429,166.83µm
net1610,166.82µm
clknet_leaf_60_clk,166.82µm
_07994_,166.78µm
ciphertext_reg\[93\],166.705µm
net1276,166.7µm
net1210,166.67µm
net900,166.64µm
_01333_,166.6µm
_08045_,166.375µm
net1888,166.32µm
net709,166.28µm
_01299_,166.25µm
net182,166.2µm
_01721_,166.18µm
_09260_,166.1µm
key_reg\[109\],166.035µm
net340,166.02µm
_03310_,166.01µm
net1774,165.98µm
net644,165.9µm
net2020,165.7µm
net263,165.6µm
net51,165.58µm
net1536,165.58µm
_03674_,165.535µm
_03642_,165.38µm
net1566,165.28µm
net369,165.12µm
net567,165.02µm
net390,164.815µm
u_aes128_baseline.u_aes_core.state_reg\[97\],164.73µm
net1619,164.68µm
_06945_,164.64µm
clknet_leaf_55_clk,164.64µm
net325,164.63µm
net1731,164.62µm
_01885_,164.53µm
